#Coverage	Number of genomic locations
610.0	11666.0
611.0	11533.0
612.0	11574.0
613.0	11503.0
614.0	11427.0
615.0	11500.0
616.0	11339.0
617.0	11168.0
618.0	11014.0
619.0	10883.0
620.0	10846.0
621.0	10754.0
622.0	10767.0
623.0	10536.0
624.0	10591.0
625.0	10310.0
626.0	10360.0
627.0	10303.0
628.0	10380.0
629.0	10148.0
630.0	10216.0
631.0	10065.0
632.0	9897.0
633.0	9839.0
634.0	9959.0
635.0	9749.0
636.0	9932.0
637.0	9790.0
638.0	9675.0
639.0	9746.0
640.0	9642.0
641.0	9406.0
642.0	9421.0
643.0	9253.0
644.0	9224.0
645.0	9087.0
646.0	8961.0
647.0	9049.0
648.0	8830.0
649.0	8767.0
650.0	8510.0
651.0	8668.0
652.0	8631.0
653.0	8695.0
654.0	8544.0
655.0	8514.0
656.0	8450.0
657.0	8372.0
658.0	8307.0
659.0	8238.0
660.0	8161.0
661.0	8285.0
662.0	8045.0
663.0	8054.0
664.0	8038.0
665.0	7925.0
666.0	7840.0
667.0	7905.0
668.0	7660.0
669.0	7870.0
670.0	7732.0
671.0	7561.0
672.0	7520.0
673.0	7606.0
674.0	7447.0
675.0	7356.0
676.0	7302.0
677.0	7459.0
678.0	7180.0
679.0	7336.0
680.0	7081.0
681.0	7128.0
682.0	7082.0
683.0	7054.0
684.0	6933.0
685.0	6952.0
686.0	6918.0
687.0	6932.0
688.0	6878.0
689.0	6754.0
690.0	6645.0
691.0	6612.0
692.0	6574.0
693.0	6671.0
694.0	6565.0
695.0	6590.0
696.0	6394.0
697.0	6434.0
698.0	6374.0
699.0	6300.0
700.0	6272.0
701.0	6212.0
702.0	6055.0
703.0	6090.0
704.0	6138.0
705.0	6140.0
706.0	5922.0
707.0	6080.0
708.0	5824.0
709.0	5866.0
710.0	5897.0
711.0	5822.0
712.0	5638.0
713.0	5738.0
714.0	5642.0
715.0	5504.0
716.0	5655.0
717.0	5587.0
718.0	5512.0
719.0	5570.0
720.0	5435.0
721.0	5347.0
722.0	5431.0
723.0	5465.0
724.0	5508.0
725.0	5314.0
726.0	5354.0
727.0	5250.0
728.0	5344.0
729.0	5262.0
730.0	5218.0
731.0	5104.0
732.0	5180.0
733.0	5085.0
734.0	5031.0
735.0	5056.0
736.0	4957.0
737.0	4900.0
738.0	5032.0
739.0	4904.0
740.0	4946.0
741.0	4834.0
742.0	4883.0
743.0	4813.0
744.0	4826.0
745.0	4752.0
746.0	4587.0
747.0	4533.0
748.0	4533.0
749.0	4554.0
750.0	4511.0
751.0	4508.0
752.0	4453.0
753.0	4338.0
754.0	4422.0
755.0	4484.0
756.0	4333.0
757.0	4362.0
758.0	4356.0
759.0	4290.0
760.0	4324.0
761.0	4203.0
762.0	4209.0
763.0	4204.0
764.0	4151.0
765.0	4088.0
766.0	4128.0
767.0	4276.0
768.0	4075.0
769.0	4135.0
770.0	3945.0
771.0	4070.0
772.0	3944.0
773.0	3951.0
774.0	3952.0
775.0	3905.0
776.0	3816.0
777.0	3918.0
778.0	3770.0
779.0	3811.0
780.0	3823.0
781.0	3786.0
782.0	3744.0
783.0	3738.0
784.0	3721.0
785.0	3659.0
786.0	3673.0
787.0	3644.0
788.0	3639.0
789.0	3525.0
790.0	3646.0
791.0	3558.0
792.0	3500.0
793.0	3547.0
794.0	3505.0
795.0	3416.0
796.0	3560.0
797.0	3366.0
798.0	3342.0
799.0	3328.0
800.0	3329.0
801.0	3407.0
802.0	3313.0
803.0	3396.0
804.0	3373.0
805.0	3291.0
806.0	3191.0
807.0	3262.0
808.0	3113.0
809.0	3182.0
810.0	3213.0
811.0	3160.0
812.0	3158.0
813.0	3081.0
814.0	3039.0
815.0	3156.0
816.0	3167.0
817.0	3143.0
818.0	3029.0
819.0	3070.0
820.0	3018.0
821.0	3006.0
822.0	3069.0
823.0	2921.0
824.0	2954.0
825.0	2888.0
826.0	2916.0
827.0	2855.0
828.0	2787.0
829.0	2861.0
830.0	2755.0
831.0	2746.0
832.0	2845.0
833.0	2793.0
834.0	2778.0
835.0	2725.0
836.0	2782.0
837.0	2772.0
838.0	2724.0
839.0	2571.0
840.0	2627.0
841.0	2660.0
842.0	2657.0
843.0	2599.0
844.0	2510.0
845.0	2491.0
846.0	2598.0
847.0	2612.0
848.0	2552.0
849.0	2505.0
850.0	2465.0
851.0	2504.0
852.0	2560.0
853.0	2517.0
854.0	2431.0
855.0	2424.0
856.0	2424.0
857.0	2452.0
858.0	2384.0
859.0	2476.0
860.0	2403.0
861.0	2457.0
862.0	2364.0
863.0	2312.0
864.0	2325.0
865.0	2335.0
866.0	2278.0
867.0	2240.0
868.0	2317.0
869.0	2315.0
870.0	2267.0
871.0	2273.0
872.0	2233.0
873.0	2140.0
874.0	2208.0
875.0	2160.0
876.0	2183.0
877.0	2101.0
878.0	2151.0
879.0	2116.0
880.0	2056.0
881.0	2082.0
882.0	2112.0
883.0	2018.0
884.0	2019.0
885.0	2070.0
886.0	2115.0
887.0	1990.0
888.0	1998.0
889.0	2049.0
890.0	2023.0
891.0	2002.0
892.0	2006.0
893.0	2021.0
894.0	1958.0
895.0	2008.0
896.0	1923.0
897.0	1984.0
898.0	1939.0
899.0	1960.0
900.0	1950.0
901.0	1878.0
902.0	1950.0
903.0	1896.0
904.0	1928.0
905.0	1851.0
906.0	1829.0
907.0	1837.0
908.0	1834.0
909.0	1765.0
910.0	1777.0
911.0	1816.0
912.0	1785.0
913.0	1738.0
914.0	1709.0
915.0	1702.0
916.0	1812.0
917.0	1666.0
918.0	1694.0
919.0	1634.0
920.0	1697.0
921.0	1660.0
922.0	1723.0
923.0	1647.0
924.0	1573.0
925.0	1691.0
926.0	1738.0
927.0	1640.0
928.0	1641.0
929.0	1660.0
930.0	1680.0
931.0	1632.0
932.0	1589.0
933.0	1606.0
934.0	1614.0
935.0	1623.0
936.0	1622.0
937.0	1526.0
938.0	1576.0
939.0	1497.0
940.0	1504.0
941.0	1557.0
942.0	1528.0
943.0	1548.0
944.0	1490.0
945.0	1539.0
946.0	1523.0
947.0	1527.0
948.0	1540.0
949.0	1460.0
950.0	1474.0
951.0	1535.0
952.0	1494.0
953.0	1466.0
954.0	1427.0
955.0	1490.0
956.0	1445.0
957.0	1442.0
958.0	1444.0
959.0	1432.0
960.0	1457.0
961.0	1357.0
962.0	1399.0
963.0	1296.0
964.0	1395.0
965.0	1389.0
966.0	1345.0
967.0	1399.0
968.0	1373.0
969.0	1326.0
970.0	1315.0
971.0	1301.0
972.0	1348.0
973.0	1361.0
974.0	1318.0
975.0	1280.0
976.0	1285.0
977.0	1336.0
978.0	1312.0
979.0	1258.0
980.0	1282.0
981.0	1346.0
982.0	1306.0
983.0	1264.0
984.0	1213.0
985.0	1283.0
986.0	1260.0
987.0	1210.0
988.0	1219.0
989.0	1256.0
990.0	1136.0
991.0	1214.0
992.0	1172.0
993.0	1228.0
994.0	1129.0
995.0	1153.0
996.0	1209.0
997.0	1107.0
998.0	1175.0
999.0	1162.0
1000.0	1255.0
1001.0	1110.0
1002.0	1158.0
1003.0	1141.0
1004.0	1081.0
1005.0	1137.0
1006.0	1095.0
1007.0	1083.0
1008.0	1127.0
1009.0	1103.0
1010.0	1074.0
1011.0	1087.0
1012.0	1086.0
1013.0	1027.0
1014.0	1082.0
1015.0	1045.0
1016.0	1064.0
1017.0	1005.0
1018.0	1028.0
1019.0	1098.0
1020.0	1028.0
1021.0	1071.0
1022.0	1026.0
1023.0	1035.0
1024.0	1002.0
1025.0	1031.0
1026.0	1001.0
1027.0	1025.0
1028.0	994.0
1029.0	973.0
1030.0	999.0
1031.0	1004.0
1032.0	970.0
1033.0	943.0
1034.0	933.0
1035.0	986.0
1036.0	977.0
1037.0	953.0
1038.0	980.0
1039.0	959.0
1040.0	942.0
1041.0	940.0
1042.0	974.0
1043.0	899.0
1044.0	940.0
1045.0	913.0
1046.0	882.0
1047.0	884.0
1048.0	926.0
1049.0	894.0
1050.0	955.0
1051.0	883.0
1052.0	855.0
1053.0	849.0
1054.0	898.0
1055.0	901.0
1056.0	870.0
1057.0	876.0
1058.0	842.0
1059.0	874.0
1060.0	879.0
1061.0	853.0
1062.0	810.0
1063.0	867.0
1064.0	826.0
1065.0	891.0
1066.0	856.0
1067.0	900.0
1068.0	807.0
1069.0	814.0
1070.0	840.0
1071.0	766.0
1072.0	762.0
1073.0	827.0
1074.0	802.0
1075.0	837.0
1076.0	792.0
1077.0	802.0
1078.0	798.0
1079.0	808.0
1080.0	778.0
